x	y
0.002343315	74.2765403
0.012028897	76.6302955
0.019574377	85.2899791
0.020554340	74.9573635
0.032455900	63.9593111
0.033857473	71.5195664
0.034596017	89.5291606
0.043791756	83.4545705
0.055245620	70.3390889
0.073687457	81.8515752
0.095610663	81.5659955
0.097797622	63.3671866
0.110685050	83.3803019
0.144823438	64.9904179
0.162417332	80.2256335
0.166205375	77.4934926
0.173358161	79.8286837
0.173972535	70.6466012
0.174052808	67.0481368
0.177622221	81.6419064
0.196449519	69.9740922
0.227246168	67.7588805
0.230003479	102.8505482
0.238076292	70.3192291
0.239345676	88.7038608
0.244392199	68.0332072
0.246693736	78.5887287
0.247921664	73.4894981
0.254562045	60.9729761
0.262975148	76.3303170
0.279047729	89.8679238
0.279756570	81.0718544
0.284150525	76.7617844
0.291782585	74.0796956
0.292371809	65.4046818
0.302345322	77.3469077
0.305382230	67.3779215
0.311482593	81.6323505
0.326107184	76.3722380
0.339592253	90.3055159
0.345924390	65.7612985
0.361934707	77.1514193
0.367807662	69.0223930
0.390059995	80.8006655
0.390189493	83.1772707
0.391305455	73.6103988
0.398438326	65.5913485
0.407277623	69.1103996
0.415884117	83.6864186
0.417355984	83.5491481
0.422041016	58.9630595
0.423555060	74.0955424
0.436530598	79.6623667
0.453686819	93.1235243
0.500614177	72.4806563
0.501655152	73.4101211
0.546571042	73.8562713
0.557925245	67.9601660
0.572107763	56.9021431
0.572558839	77.4317983
0.576112771	73.0509505
0.593624737	68.8436451
0.599735253	58.4759210
0.606942060	71.8965801
0.611311370	75.4893794
0.612145958	76.3513374
0.615017817	85.4378470
0.622673507	80.8070510
0.639172522	62.9612882
0.648188698	65.0580398
0.654910705	75.6346432
0.657499328	76.3431886
0.671160554	65.7766094
0.685097624	47.7661602
0.696841399	62.1174733
0.699945474	65.7026659
0.700605619	63.0554991
0.705444405	74.6975952
0.714302924	63.3735736
0.727436491	67.1894337
0.747339765	64.0142759
0.749128363	62.1435539
0.750303329	79.3263322
0.760637003	65.1112485
0.770596813	70.8355392
0.785027535	71.9036769
0.791527776	74.0925402
0.792111456	72.8681796
0.795984387	72.6273042
0.804606439	75.7375647
0.836503715	66.9107839
0.839907401	82.2982262
0.856256459	70.9108409
0.859050741	71.0348951
0.866887325	66.9420498
0.883926300	75.6384431
0.885293894	66.2103051
0.895105440	68.8262761
0.910646601	67.5109664
0.913827342	68.1897545
0.916294409	79.8697376
0.922657987	76.8968573
0.937704686	82.3868537
0.941009752	50.2672505
0.952400840	69.2516245
0.992674702	65.8879260
1.001968847	69.7631311
1.016184576	76.6536247
1.023652344	67.9352955
1.030300665	62.6212921
1.031385059	58.2098865
1.046501279	81.5830290
1.060811344	58.8290874
1.065556398	57.8623671
1.073120073	55.7478808
1.073904503	62.8218589
1.084921928	65.8436546
1.097687683	76.6800469
1.104530187	69.4946212
1.140232456	54.4073048
1.168385502	56.5984692
1.213351467	63.9668868
1.221893118	75.6857427
1.225381386	65.9381028
1.232655307	73.5931014
1.242079765	84.1241598
1.242167705	53.8282900
1.278220613	68.2800924
1.278563642	52.6553148
1.292858929	72.7234351
1.301681444	58.9360015
1.302246973	58.5934301
1.319842380	63.5997075
1.325441415	68.6174695
1.326260564	79.6623552
1.339890468	64.4267799
1.364009050	63.4987318
1.369102935	60.4265632
1.384280231	59.4039202
1.393156038	44.9492905
1.397728981	45.3013845
1.399836971	72.9485417
1.414168202	59.6049246
1.414806191	68.3869550
1.419139111	59.7906104
1.424288445	66.2074097
1.440245330	68.0399964
1.448583843	59.3341962
1.477936506	35.5087739
1.480023416	75.2747708
1.538952764	48.9038578
1.545888127	49.9426553
1.555381699	40.9497991
1.556830578	50.9526941
1.563596204	56.0046769
1.568924238	50.8968945
1.573435147	41.4006525
1.594748779	55.6838882
1.608049129	56.4767953
1.612085376	69.9967893
1.622103003	53.1768171
1.664739766	39.0394970
1.703191123	44.1974459
1.708615476	47.7414640
1.715332477	53.6393225
1.728849981	54.6511295
1.737452832	39.7392277
1.741836448	43.7883059
1.742429198	54.2592193
1.767683551	35.1168700
1.772771853	53.5769986
1.773752719	51.9688526
1.774951520	38.7079202
1.782980887	51.3250595
1.798453184	57.1434972
1.824307516	52.7716213
1.830044952	17.8777899
1.845506155	41.2962814
1.860512332	58.6877016
1.861557215	28.3751093
1.875371623	36.8399597
1.883204905	44.1011175
1.886265520	41.5920375
1.889282854	40.0893099
1.895845553	39.4327602
1.901908077	64.5910687
1.907504522	17.0012410
1.923535247	54.5396265
1.940372330	62.1143206
1.946945880	34.2454959
1.954611617	42.6538376
1.968863811	43.3035987
1.970684975	20.2380317
1.971769419	37.4630271
1.985772480	35.5279299
1.991001677	39.4645739
2.002144526	57.5724866
2.014997005	50.5240059
2.018752112	50.7891814
2.020549844	55.5408496
2.028175353	32.3728472
2.034855322	40.7503509
2.037336966	45.9608344
2.037912044	27.7338034
2.042885930	35.3830757
2.048241482	33.3452137
2.064907961	24.1247816
2.066727115	39.4616846
2.101189822	39.3757487
2.111541054	26.0953674
2.113402737	36.4242998
2.115898789	35.1301302
2.123799403	23.8635550
2.127193380	26.5766377
2.130174716	39.9494584
2.143407320	22.0567834
2.143518759	35.4027840
2.162068763	28.7752527
2.191298276	40.8772497
2.191308953	31.9068277
2.194955489	21.5558420
2.195683522	29.1044749
2.199286784	32.7586736
2.207830062	29.8173920
2.224466067	13.7062187
2.236099821	26.4611487
2.251522604	19.2111751
2.255716196	34.5130269
2.257172908	38.3831361
2.258564408	17.6895444
2.263251753	30.8789516
2.278258903	28.7447487
2.294393764	22.8358124
2.300958508	28.7090934
2.302258990	36.6566550
2.304824309	17.5648914
2.321003093	25.6701231
2.322755044	36.4887486
2.323374629	15.2058986
2.334241667	28.7966472
2.344320470	25.1578620
2.351987544	16.5896793
2.370627078	8.3723460
2.374830134	15.1767099
